Change Component Footprint: Designator=X_Board_Output Old Footprint=CON-M-THT-47053-1000 New Footprint=HDRV4W64P254_1X4_1022X254X838B
Change Component Comment : Designator=X_Board_Output Old Comment=47053-1000 New Comment=TSW-104-07-L-S
Change component parameters: Designator = "X_Board_Output" ("X_Board_Output"); Footprint = "CON-M-THT-47053-1000"; UniqueID = "\WKJVFZBS" ("\WKJVFZBS")
Change component parameters (AddParameter): Name = "Application"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Article Number"; Value = "378073"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Qualified"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Combined Parameters"; Value = "Board-to-Board Header (male);4x1;Mounting:THT;Orient:0° (vertical);Shielded:No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Vendor WebSite"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://webnetprod.muc.infineon.com/PCBPortal_Prod/WorkFlows/AltiumComponent/StandardDocumentation?Versionid=378074"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentStatus"; Value = "Released"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Legacy DeviceID"; Value = "SAM_TSW-104-07-L-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Legacy PartNumber"; Value = "CON01500102"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Order Number"; Value = "TSW-104-07-L-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "Header,vertical,2.54mm pitch;0.64mm lead width,4 pins,1 row,4 pins per row,10.225mm L X 2.54mm W X 8.38mm H body"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Imperial"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Metric"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Provision"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Type"; Value = "Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Remarks"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PLMStatus"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "QuickPick"; Value = "0° (vertical) / Board-to-Board"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ROHS Compliant"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schematic Remarks"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Second Source allowed"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Style"; Value = "Strip"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2035607"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "SAM1031-04-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature max"; Value = "125"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature min"; Value = "-55"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "Military"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance Neg"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance Pos"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Board-to-Board"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "TSW-104-07-L-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Version Number"; Value = "V01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage DC (max)"; Value = "na"; VariantName = "[No Variations]"
Added Room: Name=02_Top_Level
